interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Artificial Intelligence,,,,,38760.0,,,,,,,,,,,,12465.0,,,,,,,,,,,,,21225.0,,,,,,,45465.0,360375.0,,,,,,,,,19950.0,,,,,,,,71505.0,,,,,,,,,,,,29250.0,,,,,,,29190.0,,,,,,24885.0,,,,33255.0,,,43515.0,,,,,,,,,,,,13455.0,,,,157440.0,30120.0,51390.0,,,,,,,,
Arts and Crafts,,,,,89520.0,,12795.0,,,,,,,,,,20985.0,,,,,,,,,,,,,98565.0,,,,,,,299355.0,34425.0,,,,,,,42750.0,,,25080.0,,,,,,,195105.0,,,,,,,,,,33705.0,,,,18375.0,10785.0,,,,146640.0,,49080.0,,,,54345.0,,,,29715.0,,,38415.0,,,,,,,,,,,,83325.0,,,,171345.0,27720.0,64470.0,,,,,,,,
Asia Travel,19185.0,16935.0,,,159900.0,,154485.0,12060.0,,,,,,,,,119505.0,,12120.0,,,,,13740.0,,,77550.0,,,54930.0,,59340.0,,,14295.0,,2329470.0,397770.0,28830.0,17790.0,24795.0,48435.0,45765.0,,246060.0,30330.0,24150.0,492150.0,29100.0,,,,,,480570.0,,,,,,21705.0,,,32145.0,39165.0,,25125.0,10920.0,400920.0,1037490.0,,,,248475.0,,573525.0,,,,897105.0,,,,470550.0,,,498735.0,57000.0,,17100.0,10215.0,,,10770.0,11880.0,,55425.0,,289095.0,,,19815.0,4437210.0,179895.0,441375.0,,,,,24540.0,,,
Astrology,,,,,22110.0,,43485.0,,,,,,,,,,14460.0,,,,,,,,,,,,,,,,,,,,1079850.0,,,,,,,,,,,66675.0,,,,,,,11685.0,,,,,,,,,,,,,,51675.0,,,,,,,86415.0,,,,115815.0,,,,14640.0,,,,,,,,,,,,,,,,,,,413970.0,25500.0,49035.0,,,,,,,,
Atheism,,,,,,,10080.0,,,,,,,,,,,,,,,,,,,,,,,19890.0,,,,,,,306090.0,,,,,,,,,,,12420.0,,,,,,,424080.0,,,,,,,,,,,,,,,,,,,24525.0,,22005.0,,,,58785.0,,,,11280.0,,,27000.0,,,,,,,,,,,,,,,,76005.0,,25755.0,,,,,,,,
Audio Production,,26355.0,,36195.0,32475.0,,17700.0,,17325.0,,,,23505.0,,,,32100.0,24345.0,,42390.0,,,,,,18885.0,345600.0,,,163470.0,,83220.0,,,,,342195.0,279405.0,,20505.0,,,39375.0,,25635.0,13335.0,,44550.0,15075.0,,,,,,29490.0,,,,83235.0,,20715.0,,,19575.0,,,,,24675.0,72960.0,,,38505.0,49800.0,,37605.0,,,,171540.0,,,,13635.0,,,11670.0,,,48255.0,,,,,11730.0,32595.0,,,29100.0,,14430.0,37320.0,142785.0,54750.0,133185.0,,,,19095.0,18285.0,,,
Augmented Reality,,12750.0,,,148395.0,,,,,,,,,,,,25875.0,,,,,,,,,,14115.0,,,49980.0,,10530.0,,,,,84810.0,218670.0,,,,,,,17610.0,,38895.0,12240.0,17895.0,,,,,,106215.0,,,,,,,,,10215.0,,,39090.0,,,,,,,49650.0,,29340.0,10920.0,,,39840.0,,,,40170.0,,,60705.0,,,12690.0,,,,,,,,,48030.0,,,,191865.0,45660.0,87540.0,,,,,,,,
Australia and Oceania Travel,19980.0,17580.0,,,313170.0,,129990.0,21765.0,16500.0,,,,14085.0,,,,135585.0,,10035.0,,,,,14670.0,,,69330.0,,,107460.0,,62250.0,11190.0,,28185.0,,2078085.0,383715.0,17310.0,15900.0,94125.0,37770.0,44040.0,,232545.0,18660.0,44970.0,390915.0,26790.0,,,,,,441435.0,,,,,,19740.0,,,41355.0,138345.0,,42780.0,11490.0,258330.0,1081455.0,,,,235440.0,15900.0,518190.0,14790.0,,,707640.0,,,,430065.0,,,813720.0,61260.0,,45630.0,17565.0,,,13395.0,17130.0,,42045.0,10560.0,213375.0,,,22050.0,3059145.0,173700.0,331020.0,,,,,25875.0,,,
Australian Rules Football,47835.0,11790.0,,20010.0,2179755.0,50400.0,162075.0,70500.0,150780.0,,,12870.0,51120.0,14070.0,33645.0,25575.0,820935.0,16740.0,,16020.0,20445.0,10455.0,,52215.0,113640.0,,68295.0,317295.0,89385.0,433740.0,18930.0,367380.0,217905.0,72855.0,223425.0,35625.0,1311795.0,197625.0,11700.0,25485.0,1380765.0,56445.0,160875.0,54795.0,121320.0,20010.0,453495.0,287520.0,24180.0,,20040.0,,,50430.0,322980.0,,,84795.0,57780.0,,41625.0,12960.0,62700.0,575760.0,566085.0,,1468470.0,137940.0,232965.0,2561235.0,,,13440.0,92340.0,137835.0,451140.0,29760.0,21105.0,12705.0,1136595.0,,,37560.0,374295.0,16365.0,16335.0,624285.0,42825.0,32310.0,754830.0,85575.0,,,167475.0,167475.0,,23160.0,125505.0,296745.0,,,87765.0,2306595.0,256875.0,2396520.0,205605.0,17250.0,,,27945.0,,105060.0,65055.0
Auto Body Styles,,72375.0,,16920.0,51675.0,,43950.0,,39855.0,,,,16260.0,,,,41115.0,,,16500.0,,,,,,,146670.0,,,402330.0,,33150.0,,18825.0,,,585465.0,153630.0,,12645.0,15675.0,,31740.0,,60240.0,15945.0,50505.0,76815.0,17670.0,,,,,,696030.0,,,,34440.0,,36525.0,,,60060.0,13785.0,,34860.0,,72705.0,132975.0,,,17085.0,79740.0,14655.0,258945.0,42975.0,,,377805.0,,,,154095.0,,,267930.0,13740.0,,41745.0,,,,,15525.0,,,,94680.0,,12915.0,16620.0,781710.0,69075.0,277065.0,,,,11040.0,,,,
